car_name,brand,model,year,selling_price_lakh,km_driven,fuel,seller_type,transmission,owner,mileage_kmpl,engine_cc,max_power_bhp,seats
Volkswagen Taigun,Volkswagen,Taigun,2024,7.9,43734,Diesel,Dealer,Automatic,Second Owner,17.3,1342.0,91.6,5
Kia Sonet,Kia,Sonet,2012,3.67,125992,Petrol,Individual,Manual,Third Owner,15.8,1053.0,75.3,7
Ford Figo,Ford,Figo,2018,3.49,79914,Diesel,Individual,Automatic,First Owner,16.9,1662.0,99.6,5
Mahindra XUV500,Mahindra,XUV500,2019,3.86,98538,Diesel,Trustmark Dealer,Manual,Second Owner,22.6,800.0,71.7,5
Volkswagen Taigun,Volkswagen,Taigun,2012,2.18,161975,Diesel,Individual,Manual,Second Owner,18.9,1096.0,72.9,5
Renault Triber,Renault,Triber,2017,2.19,99949,Petrol,Individual,Manual,Second Owner,11.4,1480.0,88.5,5
Maruti Swift,Maruti,Swift,2019,3.11,63032,Petrol,Trustmark Dealer,Manual,Second Owner,19.5,904.0,,5
Ford Figo,Ford,Figo,2019,3.73,67180,Petrol,Individual,Manual,First Owner,16.0,1116.0,76.8,5
Tata Altroz,Tata,Altroz,2013,2.33,138681,Petrol,Individual,Automatic,First Owner,16.0,1408.0,95.7,5
Honda Jazz,Honda,Jazz,2015,2.77,157570,Petrol,Individual,Manual,First Owner,18.3,1731.0,100.7,7
Toyota Innova,Toyota,Innova,2015,4.0,125661,CNG,Individual,Manual,Second Owner,15.7,800.0,65.5,5
Mahindra Bolero,Mahindra,Bolero,2020,5.11,75988,Petrol,Individual,Manual,Second Owner,18.9,,76.4,5
Mahindra Scorpio,Mahindra,Scorpio,2016,4.32,127356,Electric,Dealer,Automatic,Second Owner,21.8,869.0,52.7,5
Hyundai Creta,Hyundai,Creta,2019,3.8,85731,Petrol,Individual,Manual,Second Owner,19.2,800.0,61.8,5
Ford Endeavour,Ford,Endeavour,2021,4.58,69677,Diesel,Dealer,Manual,First Owner,19.0,800.0,52.7,5
Volkswagen Polo,Volkswagen,Polo,2022,6.29,50413,Diesel,Dealer,Manual,First Owner,24.3,860.0,83.8,5
Hyundai Grand i10,Hyundai,Grand i10,2014,2.71,154485,Diesel,Dealer,Manual,First Owner,16.7,1632.0,114.7,5
Maruti Baleno,Maruti,Baleno,2023,5.94,9137,Diesel,Individual,Automatic,Second Owner,20.8,1091.0,77.3,5
Maruti Wagon R,Maruti,Wagon R,2014,1.92,141052,Diesel,Dealer,Manual,First Owner,19.3,1211.0,71.8,5
Volkswagen Virtus,Volkswagen,Virtus,2012,2.73,126297,CNG,Individual,Manual,Second Owner,,866.0,54.7,5
Honda Amaze,Honda,Amaze,2012,3.44,127472,Diesel,Dealer,Automatic,Third Owner,19.6,1422.0,99.2,5
Mahindra Scorpio,Mahindra,Scorpio,2014,2.67,160730,Petrol,Individual,Manual,First Owner,18.5,1857.0,106.2,5
Tata Altroz,Tata,Altroz,2023,5.13,49289,Petrol,Dealer,Manual,Second Owner,16.7,889.0,53.2,5
Mahindra XUV500,Mahindra,XUV500,2014,3.23,108538,Diesel,Individual,Manual,First Owner,14.9,1804.0,114.3,5
Tata Tiago,Tata,Tiago,2021,4.6,75131,Petrol,Dealer,Automatic,First Owner,17.5,1328.0,89.1,5
Volkswagen Taigun,Volkswagen,Taigun,2017,2.88,113104,Petrol,Individual,Manual,First Owner,17.4,1206.0,84.4,5
Maruti Swift,Maruti,Swift,2012,2.04,126779,Diesel,Individual,Manual,First Owner,19.5,1340.0,85.2,5
Honda WR-V,Honda,WR-V,2017,3.77,69375,Petrol,Dealer,Manual,First Owner,18.1,1337.0,95.9,5
Volkswagen Polo,Volkswagen,Polo,2012,3.04,117454,Diesel,Individual,Manual,First Owner,18.6,1850.0,,5
Kia Sonet,Kia,Sonet,2018,4.17,125689,Diesel,Dealer,Manual,First Owner,19.5,1382.0,96.0,5
Renault Kwid,Renault,Kwid,2019,3.16,92645,Diesel,Dealer,Manual,First Owner,20.0,1389.0,93.1,7
Maruti Swift,Maruti,Swift,2018,2.14,107423,Diesel,Dealer,Manual,First Owner,16.8,1052.0,77.7,5
Tata Tiago,Tata,Tiago,2015,1.9,111248,CNG,Dealer,Manual,First Owner,15.1,1494.0,106.6,5
Maruti Swift,Maruti,Swift,2021,4.37,63491,Diesel,Dealer,Automatic,Second Owner,18.7,865.0,58.9,5
Maruti Dzire,Maruti,Dzire,2019,2.8,127906,Electric,Trustmark Dealer,Manual,First Owner,20.8,1238.0,77.8,5
Ford Endeavour,Ford,Endeavour,2015,3.08,112859,Petrol,Individual,Automatic,First Owner,10.8,2209.0,123.0,5
Ford Figo,Ford,Figo,2017,2.89,94245,Diesel,Individual,Manual,Third Owner,18.7,800.0,45.0,5
Volkswagen Virtus,Volkswagen,Virtus,2013,2.44,154115,Diesel,Dealer,Manual,Second Owner,15.6,1282.0,84.1,5
Renault Kwid,Renault,Kwid,2024,5.52,42608,Petrol,Individual,Manual,Second Owner,23.3,1295.0,85.4,5
Ford Endeavour,Ford,Endeavour,2021,5.28,64915,Petrol,Individual,Manual,Second Owner,18.5,1120.0,67.9,5
Volkswagen Virtus,Volkswagen,Virtus,2015,3.0,117225,Diesel,Individual,Manual,First Owner,19.8,1128.0,70.1,5
Maruti Baleno,Maruti,Baleno,2020,3.09,84505,Petrol,Individual,Manual,Second Owner,15.9,1232.0,94.9,5
Hyundai Creta,Hyundai,Creta,2020,4.4,90211,CNG,Individual,Automatic,First Owner,20.7,1112.0,83.2,5
Toyota Innova,Toyota,Innova,2019,6.15,137016,Petrol,Dealer,Automatic,First Owner,14.4,1278.0,75.2,5
Renault Kwid,Renault,Kwid,2012,2.01,143897,Petrol,Dealer,Manual,First Owner,17.3,1029.0,68.1,5
Maruti Swift,Maruti,Swift,2023,5.22,12682,Diesel,Dealer,Manual,Second Owner,12.9,1908.0,,5
Honda Amaze,Honda,Amaze,2024,7.33,65678,Petrol,Individual,Manual,First Owner,19.3,1112.0,71.1,5
Ford Endeavour,Ford,Endeavour,2024,8.11,59333,Petrol,Dealer,Automatic,First Owner,15.6,1399.0,85.5,7
Maruti Baleno,Maruti,Baleno,2024,4.68,59455,Diesel,Dealer,Manual,First Owner,22.7,966.0,65.4,5
Tata Harrier,Tata,Harrier,2024,5.81,63910,Petrol,Individual,Manual,Second Owner,17.5,1527.0,107.7,7
Kia Sonet,Kia,Sonet,2021,6.21,77369,Petrol,Individual,Manual,First Owner,15.5,1457.0,104.6,5
Ford Aspire,Ford,Aspire,2012,2.26,135342,Diesel,Individual,Manual,First Owner,19.5,1347.0,83.2,5
Hyundai Verna,Hyundai,Verna,2018,3.24,110986,Diesel,Trustmark Dealer,Manual,First Owner,19.5,840.0,64.9,5
Renault Kiger,Renault,Kiger,2015,2.05,105074,Diesel,Individual,Manual,Second Owner,18.6,937.0,66.5,5
Hyundai Verna,Hyundai,Verna,2014,2.76,102650,Petrol,Individual,Manual,First Owner,16.8,1790.0,105.4,7
Renault Kwid,Renault,Kwid,2022,4.04,138023,Petrol,Individual,Manual,Third Owner,14.9,933.0,63.9,5
Hyundai Verna,Hyundai,Verna,2022,6.74,55751,Electric,Individual,Manual,First Owner,18.6,1424.0,83.2,5
Toyota Etios,Toyota,Etios,2018,5.39,99703,Diesel,Individual,Manual,First Owner,18.7,869.0,72.1,7
Tata Nexon,Tata,Nexon,2021,5.09,45095,Petrol,Dealer,Automatic,First Owner,14.9,1553.0,112.8,5
Hyundai i20,Hyundai,i20,2013,2.48,132562,Diesel,Individual,Manual,First Owner,23.6,960.0,64.5,5
Kia Seltos,Kia,Seltos,2014,3.77,102969,Petrol,Dealer,Automatic,First Owner,19.1,863.0,57.3,5
Maruti Swift,Maruti,Swift,2023,5.08,55265,Diesel,Individual,Manual,First Owner,21.6,951.0,75.7,7
Maruti Dzire,Maruti,Dzire,2017,1.75,126991,Diesel,Individual,Manual,Second Owner,20.0,1006.0,80.1,5
Hyundai i20,Hyundai,i20,2019,4.87,101384,Electric,Dealer,Automatic,First Owner,18.3,1342.0,79.9,5
Ford EcoSport,Ford,EcoSport,2018,3.22,110005,Electric,Dealer,Manual,First Owner,17.7,1224.0,81.1,5
Volkswagen Vento,Volkswagen,Vento,2014,2.81,84533,Petrol,Dealer,Automatic,First Owner,19.9,817.0,59.5,7
Mahindra Scorpio,Mahindra,Scorpio,2022,5.36,111911,Diesel,Individual,Manual,First Owner,21.4,1190.0,74.3,7
Hyundai Grand i10,Hyundai,Grand i10,2021,5.46,51778,Petrol,Individual,Automatic,First Owner,22.4,800.0,62.1,5
Tata Nexon,Tata,Nexon,2020,3.93,118128,Diesel,Dealer,Manual,First Owner,16.1,1425.0,87.8,5
Maruti Dzire,Maruti,Dzire,2016,2.03,132973,Diesel,Individual,Manual,First Owner,14.6,1489.0,92.6,5
Honda City,Honda,City,2020,4.14,97201,Petrol,Dealer,Manual,First Owner,17.2,1192.0,79.7,7
Mahindra Scorpio,Mahindra,Scorpio,2024,8.88,39690,Petrol,Individual,Automatic,Third Owner,19.8,,74.3,5
Ford Figo,Ford,Figo,2020,5.0,87834,Petrol,Individual,Automatic,Second Owner,17.3,1813.0,98.3,7
Toyota Glanza,Toyota,Glanza,2018,5.22,87139,Petrol,Dealer,Manual,Second Owner,19.7,1145.0,85.3,5
Tata Nexon,Tata,Nexon,2015,2.39,117638,Petrol,Dealer,Automatic,First Owner,16.9,870.0,,5
Kia Sonet,Kia,Sonet,2018,4.27,92002,CNG,Dealer,Automatic,Second Owner,18.7,1403.0,109.2,5
Honda Jazz,Honda,Jazz,2016,2.71,65650,Petrol,Dealer,Manual,First Owner,23.1,804.0,75.0,5
Maruti Wagon R,Maruti,Wagon R,2019,2.94,115679,Diesel,Individual,Manual,First Owner,19.1,1126.0,72.9,5
Tata Altroz,Tata,Altroz,2012,2.44,134715,Diesel,Dealer,Manual,Second Owner,23.5,990.0,88.2,5
Maruti Swift,Maruti,Swift,2014,1.9,112834,Diesel,Trustmark Dealer,Manual,First Owner,17.1,954.0,75.0,5
Hyundai Grand i10,Hyundai,Grand i10,2022,6.84,59172,Petrol,Individual,Manual,First Owner,20.2,1112.0,71.0,5
Maruti Dzire,Maruti,Dzire,2016,2.13,118386,CNG,Individual,Automatic,Second Owner,14.5,,77.7,5
Tata Harrier,Tata,Harrier,2017,2.38,84337,Diesel,Trustmark Dealer,Manual,First Owner,18.3,1587.0,107.8,5
Toyota Glanza,Toyota,Glanza,2019,7.92,41386,Diesel,Individual,Manual,First Owner,17.8,1524.0,99.1,5
Hyundai Creta,Hyundai,Creta,2017,2.44,112956,CNG,Trustmark Dealer,Manual,First Owner,21.3,1318.0,90.9,5
Tata Tiago,Tata,Tiago,2021,4.58,89420,Diesel,Individual,Manual,First Owner,19.8,1110.0,74.2,5
Mahindra Thar,Mahindra,Thar,2015,2.59,112608,Petrol,Dealer,Manual,Third Owner,19.7,800.0,49.8,5
Volkswagen Virtus,Volkswagen,Virtus,2021,4.63,52746,CNG,Dealer,Manual,First Owner,16.6,1329.0,84.7,7
Honda WR-V,Honda,WR-V,2014,2.82,125456,Petrol,Dealer,Manual,First Owner,20.1,800.0,64.7,5
Hyundai Creta,Hyundai,Creta,2016,2.72,78280,Diesel,Dealer,Manual,First Owner,19.5,800.0,56.2,7
Kia Seltos,Kia,Seltos,2019,6.19,68400,Petrol,Individual,Manual,Second Owner,21.3,1143.0,75.0,5
Hyundai Verna,Hyundai,Verna,2023,6.36,48484,Petrol,Dealer,Automatic,Second Owner,20.4,1293.0,74.0,5
Hyundai Verna,Hyundai,Verna,2015,2.13,135566,Petrol,Trustmark Dealer,Manual,First Owner,16.2,1042.0,73.0,5
Kia Carens,Kia,Carens,2019,5.22,83022,Petrol,Trustmark Dealer,Manual,Third Owner,15.4,1737.0,101.6,5
Honda Jazz,Honda,Jazz,2012,3.8,126646,Electric,Trustmark Dealer,Manual,First Owner,17.6,1362.0,97.3,5
Volkswagen Polo,Volkswagen,Polo,2012,2.39,179503,Petrol,Dealer,Manual,Second Owner,17.3,1113.0,70.3,7
Toyota Etios,Toyota,Etios,2021,9.83,85754,Diesel,Dealer,Automatic,First Owner,16.5,1685.0,105.3,5
Toyota Fortuner,Toyota,Fortuner,2021,8.7,85457,Petrol,Individual,Manual,First Owner,18.2,1748.0,128.5,5
Hyundai i20,Hyundai,i20,2016,3.18,102366,Electric,Dealer,Automatic,First Owner,19.1,1379.0,88.4,5
Hyundai Grand i10,Hyundai,Grand i10,2020,5.93,71379,Petrol,Dealer,Automatic,Third Owner,22.5,929.0,62.6,5
Hyundai i20,Hyundai,i20,2016,2.86,62399,Petrol,Individual,Manual,Second Owner,18.0,1007.0,75.1,5
Maruti Swift,Maruti,Swift,2015,1.83,138312,Petrol,Individual,Manual,First Owner,20.6,800.0,45.0,5
Kia Sonet,Kia,Sonet,2017,4.21,113862,Diesel,Dealer,Manual,First Owner,16.9,1185.0,90.2,5
Hyundai Grand i10,Hyundai,Grand i10,2016,2.9,106558,Electric,Individual,Automatic,First Owner,20.9,832.0,68.7,5
Honda City,Honda,City,2022,6.35,68481,Electric,Individual,Manual,First Owner,19.6,1085.0,78.9,7
Volkswagen Vento,Volkswagen,Vento,2017,2.55,120195,Petrol,Individual,Manual,First Owner,19.7,1291.0,59.0,5
Volkswagen Vento,Volkswagen,Vento,2016,2.87,76296,Petrol,Dealer,Manual,First Owner,23.2,800.0,56.9,5
Tata Altroz,Tata,Altroz,2018,2.55,84522,Petrol,Trustmark Dealer,Manual,First Owner,21.9,800.0,48.8,5
Tata Tiago,Tata,Tiago,2021,4.51,53001,Petrol,Dealer,Manual,First Owner,17.6,1023.0,80.3,5
Mahindra Scorpio,Mahindra,Scorpio,2015,2.76,155973,Diesel,Trustmark Dealer,Manual,Second Owner,15.7,1182.0,88.4,5
Ford Figo,Ford,Figo,2024,5.37,77764,Petrol,Dealer,Manual,First Owner,20.3,1027.0,74.6,5
Renault Duster,Renault,Duster,2018,3.14,49040,Diesel,Individual,Automatic,First Owner,21.9,1105.0,66.2,5
Kia Sonet,Kia,Sonet,2020,6.65,51197,CNG,Individual,Manual,First Owner,19.7,953.0,79.4,7
Volkswagen Virtus,Volkswagen,Virtus,2024,5.89,55588,Petrol,Individual,Manual,First Owner,17.5,800.0,56.9,7
Maruti Baleno,Maruti,Baleno,2017,2.32,93606,Petrol,Individual,Manual,First Owner,23.5,1013.0,85.2,5
Honda City,Honda,City,2014,3.19,94363,Petrol,Dealer,Automatic,Second Owner,19.7,1125.0,79.0,5
Maruti Baleno,Maruti,Baleno,2021,3.57,120784,Petrol,Individual,Manual,First Owner,19.3,1091.0,79.1,5
Toyota Innova,Toyota,Innova,2012,4.32,143375,Petrol,Trustmark Dealer,Automatic,First Owner,15.8,1239.0,79.5,5
Mahindra Thar,Mahindra,Thar,2017,2.93,114445,Diesel,Dealer,Manual,Second Owner,17.5,1347.0,100.3,5
Honda WR-V,Honda,WR-V,2024,7.81,43275,Petrol,Individual,Automatic,First Owner,18.4,1439.0,99.0,7
Tata Tiago,Tata,Tiago,2017,2.51,119890,Diesel,Trustmark Dealer,Manual,First Owner,20.6,978.0,80.3,7
Maruti Dzire,Maruti,Dzire,2020,3.12,76130,CNG,Trustmark Dealer,Manual,Second Owner,19.2,800.0,60.4,5
Mahindra Scorpio,Mahindra,Scorpio,2018,3.85,91266,CNG,Dealer,Manual,First Owner,15.7,1645.0,105.1,5
Maruti Wagon R,Maruti,Wagon R,2014,1.99,136942,Diesel,Dealer,Automatic,First Owner,16.4,1335.0,93.2,5
Maruti Baleno,Maruti,Baleno,2016,2.31,74662,Petrol,Trustmark Dealer,Automatic,Second Owner,23.5,866.0,74.2,5
Hyundai Grand i10,Hyundai,Grand i10,2018,3.25,132634,Petrol,Dealer,Manual,Second Owner,19.6,1297.0,94.5,5
Maruti Swift,Maruti,Swift,2013,1.63,134012,Petrol,Dealer,Manual,First Owner,15.2,1574.0,102.7,7
Tata Nexon,Tata,Nexon,2017,2.67,132180,Electric,Individual,Manual,First Owner,12.6,1805.0,99.4,7
Honda WR-V,Honda,WR-V,2017,3.07,80340,Electric,Individual,Manual,Second Owner,18.4,1288.0,92.3,5
Hyundai Creta,Hyundai,Creta,2022,4.93,51190,Petrol,Individual,Manual,First Owner,15.3,1571.0,89.9,7
Maruti Baleno,Maruti,Baleno,2013,1.82,104438,Petrol,Individual,Manual,First Owner,19.7,800.0,59.3,5
Maruti Wagon R,Maruti,Wagon R,2022,5.06,77006,Petrol,Individual,Manual,First Owner,16.1,1187.0,79.4,5
Tata Altroz,Tata,Altroz,2017,2.49,105451,Petrol,Individual,Manual,Second Owner,17.0,1083.0,63.2,5
Maruti Wagon R,Maruti,Wagon R,2020,4.75,74282,Electric,Individual,Automatic,First Owner,18.0,1320.0,90.6,5
Ford Figo,Ford,Figo,2019,4.06,68690,Petrol,Individual,Manual,First Owner,14.7,1764.0,129.3,5
Hyundai Grand i10,Hyundai,Grand i10,2015,2.7,89134,Petrol,Individual,Manual,First Owner,22.8,1287.0,83.3,5
Hyundai i20,Hyundai,i20,2024,7.21,57433,Petrol,Dealer,Manual,First Owner,21.3,872.0,69.1,5
Tata Harrier,Tata,Harrier,2014,2.11,113257,Petrol,Dealer,Manual,Second Owner,18.3,800.0,77.8,5
Tata Altroz,Tata,Altroz,2012,2.36,121416,Petrol,Dealer,Manual,First Owner,12.1,1776.0,119.6,5
Maruti Baleno,Maruti,Baleno,2021,3.88,112035,CNG,Individual,Manual,First Owner,18.1,1380.0,85.7,5
Maruti Dzire,Maruti,Dzire,2020,3.53,82688,Petrol,Dealer,Manual,Second Owner,16.7,1357.0,91.5,5
Renault Duster,Renault,Duster,2023,5.52,92940,Diesel,Individual,Manual,First Owner,21.7,1080.0,78.2,5
Maruti Swift,Maruti,Swift,2017,2.15,92268,Petrol,Individual,Manual,First Owner,18.4,1294.0,97.6,5
Honda Amaze,Honda,Amaze,2012,2.9,141885,Petrol,Individual,Manual,First Owner,16.3,855.0,71.7,7
Honda City,Honda,City,2012,2.53,135279,Petrol,Trustmark Dealer,Manual,Second Owner,15.5,1336.0,66.3,5
Hyundai Creta,Hyundai,Creta,2017,3.31,66652,Petrol,Trustmark Dealer,Manual,Second Owner,19.2,800.0,52.2,5
Tata Nexon,Tata,Nexon,2015,2.18,148423,Petrol,Dealer,Manual,Second Owner,19.9,1074.0,73.5,7
Volkswagen Taigun,Volkswagen,Taigun,2023,5.91,62026,Petrol,Dealer,Manual,First Owner,17.5,975.0,60.5,7
Renault Kwid,Renault,Kwid,2013,1.8,146421,Diesel,Individual,Manual,First Owner,,800.0,45.0,5
Hyundai Creta,Hyundai,Creta,2023,6.16,48455,Diesel,Dealer,Manual,First Owner,16.3,1079.0,68.5,5
Hyundai Grand i10,Hyundai,Grand i10,2014,2.52,119873,CNG,Individual,Automatic,Third Owner,20.1,885.0,63.6,5
Hyundai Verna,Hyundai,Verna,2013,2.52,110929,Petrol,Individual,Manual,First Owner,19.5,1126.0,72.7,5
Tata Harrier,Tata,Harrier,2015,1.98,144191,Diesel,Trustmark Dealer,Manual,First Owner,21.3,1201.0,73.1,5
Ford Aspire,Ford,Aspire,2013,2.73,136851,Diesel,Trustmark Dealer,Manual,Second Owner,15.4,1819.0,115.4,5
Hyundai Grand i10,Hyundai,Grand i10,2017,2.73,112075,Petrol,Individual,Manual,First Owner,16.1,1307.0,89.6,5
Hyundai Grand i10,Hyundai,Grand i10,2016,2.45,140380,Petrol,Individual,Manual,First Owner,20.7,1317.0,83.7,5
Kia EV6,Kia,EV6,2018,3.98,122939,Petrol,Individual,Manual,First Owner,17.0,1373.0,101.5,5
Maruti Baleno,Maruti,Baleno,2018,2.39,114337,Diesel,Individual,Manual,First Owner,18.2,1505.0,98.2,5
Tata Harrier,Tata,Harrier,2012,1.86,105221,Petrol,Individual,Manual,Third Owner,16.2,1359.0,82.8,5
Ford Aspire,Ford,Aspire,2013,2.69,114695,Petrol,Dealer,Manual,First Owner,18.0,1299.0,77.4,5
Maruti Wagon R,Maruti,Wagon R,2014,2.01,101414,Electric,Individual,Manual,Third Owner,15.3,1449.0,93.0,5
Maruti Swift,Maruti,Swift,2014,1.61,139505,Petrol,Individual,Manual,First Owner,,,67.9,5
Maruti Wagon R,Maruti,Wagon R,2013,2.43,133754,Electric,Individual,Manual,First Owner,15.9,1931.0,114.6,5
Kia Seltos,Kia,Seltos,2016,4.13,79908,Diesel,Dealer,Manual,Second Owner,,1756.0,116.3,5
Maruti Wagon R,Maruti,Wagon R,2019,3.08,86847,Diesel,Individual,Manual,Second Owner,16.8,1276.0,85.9,5
Maruti Dzire,Maruti,Dzire,2016,2.18,77629,Diesel,Individual,Manual,First Owner,21.3,800.0,74.9,5
Maruti Wagon R,Maruti,Wagon R,2016,2.33,109330,Petrol,Dealer,Automatic,Second Owner,14.3,1624.0,107.4,5
Maruti Wagon R,Maruti,Wagon R,2018,2.98,61081,Diesel,Dealer,Automatic,Second Owner,16.6,957.0,62.0,5
Toyota Etios,Toyota,Etios,2019,6.27,102634,Diesel,Individual,Automatic,Second Owner,18.0,,97.2,5
Hyundai Verna,Hyundai,Verna,2016,2.77,118815,Diesel,Dealer,Manual,First Owner,20.3,800.0,65.2,5
Honda Amaze,Honda,Amaze,2014,2.64,165474,Petrol,Individual,Manual,First Owner,13.7,1979.0,120.7,5
Toyota Innova,Toyota,Innova,2017,5.03,122653,Petrol,Dealer,Automatic,First Owner,21.6,800.0,49.7,5
Renault Triber,Renault,Triber,2012,1.83,127195,Petrol,Individual,Manual,First Owner,19.5,1224.0,86.6,7
Maruti Baleno,Maruti,Baleno,2018,2.42,115497,Petrol,Trustmark Dealer,Automatic,First Owner,20.2,800.0,59.5,5
Renault Kwid,Renault,Kwid,2024,6.19,27751,Diesel,Trustmark Dealer,Manual,First Owner,16.2,1186.0,68.1,5
Toyota Glanza,Toyota,Glanza,2017,4.87,82825,Diesel,Dealer,Automatic,First Owner,17.9,1051.0,74.8,5
Maruti Wagon R,Maruti,Wagon R,2013,1.59,137329,Diesel,Trustmark Dealer,Manual,First Owner,17.3,1598.0,97.8,5
Volkswagen Taigun,Volkswagen,Taigun,2021,5.62,30518,Diesel,Individual,Manual,First Owner,19.4,1051.0,60.7,7
Renault Triber,Renault,Triber,2013,2.19,129182,Petrol,Dealer,Manual,First Owner,15.0,1599.0,100.1,5
Hyundai i20,Hyundai,i20,2014,2.56,101054,Petrol,Individual,Manual,First Owner,18.8,842.0,,7
Kia Carens,Kia,Carens,2013,3.55,132228,Petrol,Individual,Manual,First Owner,20.1,1101.0,85.2,5
Tata Harrier,Tata,Harrier,2023,6.38,41289,Petrol,Individual,Automatic,Second Owner,18.4,1108.0,83.5,5
Toyota Etios,Toyota,Etios,2024,10.98,67833,Petrol,Dealer,Manual,First Owner,18.9,1373.0,92.7,5
Mahindra Bolero,Mahindra,Bolero,2019,4.4,91425,Petrol,Dealer,Manual,First Owner,19.4,1329.0,92.9,7
Tata Tiago,Tata,Tiago,2020,4.1,115308,Petrol,Dealer,Manual,First Owner,16.3,1453.0,95.7,5
Renault Triber,Renault,Triber,2020,3.45,84648,Diesel,Individual,Manual,First Owner,19.7,1293.0,77.3,5
Hyundai Grand i10,Hyundai,Grand i10,2019,4.2,74089,Petrol,Trustmark Dealer,Manual,First Owner,17.3,1431.0,86.5,7
Volkswagen Taigun,Volkswagen,Taigun,2019,3.44,85568,Petrol,Dealer,Manual,First Owner,20.6,886.0,58.9,5
Toyota Fortuner,Toyota,Fortuner,2024,12.07,28926,Petrol,Dealer,Automatic,First Owner,13.2,1336.0,99.7,5
Hyundai Grand i10,Hyundai,Grand i10,2021,5.83,86935,Diesel,Individual,Manual,Second Owner,13.3,1763.0,120.6,5
Tata Altroz,Tata,Altroz,2013,1.96,142976,Diesel,Individual,Manual,First Owner,18.7,800.0,50.4,7
Hyundai Creta,Hyundai,Creta,2017,2.7,158322,Petrol,Dealer,Automatic,First Owner,16.7,1371.0,90.8,5
Maruti Swift,Maruti,Swift,2024,6.23,44819,Petrol,Trustmark Dealer,Manual,First Owner,17.2,1437.0,90.8,5
Maruti Swift,Maruti,Swift,2017,2.89,98108,Electric,Individual,Automatic,First Owner,,1711.0,107.9,7
Hyundai i20,Hyundai,i20,2014,2.55,110833,Diesel,Individual,Manual,First Owner,17.5,1454.0,90.7,5
Maruti Baleno,Maruti,Baleno,2023,4.66,69666,Diesel,Individual,Manual,Second Owner,16.8,1235.0,94.2,5
Maruti Baleno,Maruti,Baleno,2020,3.23,92897,Petrol,Individual,Manual,First Owner,18.9,1351.0,89.2,5
Ford Figo,Ford,Figo,2019,4.13,89825,Diesel,Dealer,Manual,First Owner,23.4,943.0,68.6,5
Ford Aspire,Ford,Aspire,2017,2.25,127899,CNG,Individual,Manual,First Owner,18.4,1064.0,75.3,5
Ford Endeavour,Ford,Endeavour,2013,2.12,116426,Petrol,Individual,Manual,First Owner,19.2,800.0,50.8,5
Hyundai Grand i10,Hyundai,Grand i10,2016,2.81,132195,Diesel,Dealer,Manual,Second Owner,14.1,1720.0,110.5,5
Kia EV6,Kia,EV6,2017,3.23,115846,Petrol,Individual,Manual,First Owner,17.6,1358.0,98.2,5
Toyota Innova,Toyota,Innova,2024,11.76,58235,Diesel,Individual,Automatic,First Owner,19.1,879.0,75.1,5
Maruti Wagon R,Maruti,Wagon R,2015,1.9,110071,Petrol,Dealer,Manual,First Owner,14.3,1295.0,77.0,5
Maruti Dzire,Maruti,Dzire,2013,1.86,183386,Petrol,Individual,Automatic,Second Owner,13.2,1606.0,91.2,5
Ford Figo,Ford,Figo,2017,3.02,86025,Electric,Trustmark Dealer,Automatic,First Owner,18.4,1547.0,100.6,5
Maruti Baleno,Maruti,Baleno,2024,5.66,65054,CNG,Dealer,Automatic,Third Owner,22.7,875.0,72.0,5
Honda Jazz,Honda,Jazz,2018,4.04,80995,Petrol,Trustmark Dealer,Automatic,Third Owner,23.8,800.0,61.9,5
Mahindra Thar,Mahindra,Thar,2016,2.96,149783,Electric,Individual,Manual,Second Owner,18.0,1338.0,94.0,7
Maruti Swift,Maruti,Swift,2020,3.54,104010,Petrol,Dealer,Manual,First Owner,18.1,890.0,53.1,7
Maruti Baleno,Maruti,Baleno,2020,3.49,69576,Petrol,Individual,Manual,Second Owner,16.2,1418.0,88.4,7
Mahindra Bolero,Mahindra,Bolero,2015,2.83,128277,CNG,Dealer,Automatic,First Owner,13.5,1533.0,81.7,5
Toyota Etios,Toyota,Etios,2024,12.56,64169,Petrol,Individual,Manual,Second Owner,13.1,1590.0,101.3,5
Maruti Swift,Maruti,Swift,2019,3.13,79634,Petrol,Individual,Automatic,First Owner,15.4,1811.0,97.3,5
Kia Sonet,Kia,Sonet,2012,3.94,153179,Diesel,Individual,Automatic,First Owner,17.0,1633.0,115.5,5
Kia Sonet,Kia,Sonet,2017,3.69,112564,Petrol,Dealer,Manual,First Owner,18.9,1812.0,127.1,5
Honda City,Honda,City,2023,6.99,69745,Petrol,Dealer,Manual,Second Owner,15.5,1683.0,108.7,5
Toyota Etios,Toyota,Etios,2017,4.32,103077,Petrol,Individual,Manual,Second Owner,12.8,1713.0,97.1,5
Hyundai Creta,Hyundai,Creta,2019,3.83,100483,Diesel,Dealer,Manual,First Owner,18.2,1186.0,83.2,5
Maruti Baleno,Maruti,Baleno,2019,2.8,96046,Petrol,Dealer,Manual,First Owner,20.0,800.0,73.9,5
Toyota Etios,Toyota,Etios,2021,8.89,79300,Petrol,Individual,Automatic,Second Owner,12.5,2069.0,132.6,5
Hyundai Grand i10,Hyundai,Grand i10,2023,7.26,50897,Diesel,Individual,Manual,Second Owner,18.9,1222.0,91.7,7
Ford Aspire,Ford,Aspire,2013,1.98,167262,Petrol,Dealer,Manual,Second Owner,13.5,1630.0,100.8,5
