car_name,brand,model,year,selling_price_lakh,km_driven,fuel,seller_type,transmission,owner,mileage_kmpl,engine_cc,max_power_bhp,seats,car_age,price_per_10k_km,price_segment,mileage_category,age_group
Toyota Innova,Toyota,Innova,2014,4.12,100749,Diesel,Individual,Manual,First Owner,16.5,1322.0,91.0,7,11,0.4089370614100388,Mid-range,Medium,8-12 years
Hyundai Grand i10,Hyundai,Grand i10,2018,2.93,90791,Petrol,Dealer,Manual,First Owner,15.3,1277.0,73.7,5,7,0.3227192122567215,Budget,Medium,4-7 years
Ford EcoSport,Ford,EcoSport,2019,3.43,75812,Petrol,Individual,Manual,First Owner,13.1,1214.0,94.3,5,6,0.4524349707170369,Budget,Medium,4-7 years
Hyundai Verna,Hyundai,Verna,2022,5.63,84741,Petrol,Trustmark Dealer,Manual,First Owner,13.3,1977.0,111.9,5,3,0.664377338006396,Mid-range,Medium,0-3 years
Ford Figo,Ford,Figo,2017,2.63,89066,CNG,Dealer,Manual,First Owner,17.3,1732.0,115.2,7,8,0.2952866413670761,Budget,Medium,8-12 years
Renault Duster,Renault,Duster,2023,4.75,87256,Petrol,Dealer,Manual,Second Owner,18.3,1116.0,81.9,5,2,0.544375171907949,Mid-range,High,0-3 years
Maruti Swift,Maruti,Swift,2019,2.97,85594,Diesel,Individual,Manual,First Owner,20.3,1385.0,81.4,5,6,0.34698693833679933,Budget,High,4-7 years
Toyota Fortuner,Toyota,Fortuner,2012,5.45,122208,Electric,Individual,Manual,First Owner,17.1,1214.0,101.1,5,13,0.4459609845509296,Mid-range,Medium,13+ years
Maruti Baleno,Maruti,Baleno,2021,3.75,50427,Diesel,Trustmark Dealer,Manual,First Owner,20.6,1193.0,88.1,5,4,0.7436492355285859,Budget,High,4-7 years
Ford Figo,Ford,Figo,2019,3.45,96570,Petrol,Individual,Automatic,First Owner,19.0,816.0,54.6,5,6,0.3572538055296676,Budget,High,4-7 years
Maruti Wagon R,Maruti,Wagon R,2017,1.8,123694,Petrol,Individual,Manual,First Owner,18.4,920.0,49.7,5,8,0.14552039710899478,Budget,High,8-12 years
Kia EV6,Kia,EV6,2018,4.93,103513,Petrol,Dealer,Automatic,First Owner,16.3,1602.0,94.5,5,7,0.4762686812284447,Mid-range,Medium,4-7 years
Maruti Baleno,Maruti,Baleno,2015,1.93,166254,Diesel,Dealer,Manual,First Owner,16.9,1638.0,100.3,5,10,0.11608743248282748,Budget,Medium,8-12 years
Mahindra Bolero,Mahindra,Bolero,2019,4.97,122455,Electric,Dealer,Manual,First Owner,18.4,1127.0,89.3,5,6,0.40586337838389613,Mid-range,High,4-7 years
Volkswagen Taigun,Volkswagen,Taigun,2019,4.39,84234,Diesel,Dealer,Manual,First Owner,18.4,1291.0,85.1,5,6,0.5211672246361326,Mid-range,High,4-7 years
Toyota Glanza,Toyota,Glanza,2017,4.5,97003,Petrol,Trustmark Dealer,Manual,Third Owner,17.2,1619.0,96.0,5,8,0.463903178252219,Mid-range,Medium,8-12 years
Volkswagen Taigun,Volkswagen,Taigun,2015,2.37,127333,Petrol,Individual,Manual,Second Owner,17.7,800.0,60.2,7,10,0.1861261416914704,Budget,Medium,8-12 years
Volkswagen Taigun,Volkswagen,Taigun,2017,3.44,85563,CNG,Dealer,Automatic,First Owner,18.5,1044.0,62.1,5,8,0.4020429391208817,Budget,High,8-12 years
Mahindra XUV500,Mahindra,XUV500,2018,2.84,123158,Petrol,Dealer,Manual,First Owner,13.4,1906.0,123.9,5,7,0.230598093505903,Budget,Medium,4-7 years
Hyundai Grand i10,Hyundai,Grand i10,2018,3.4,105455,Diesel,Dealer,Manual,First Owner,16.8,1305.0,79.0,5,7,0.3224124033948129,Budget,Medium,4-7 years
Toyota Innova,Toyota,Innova,2016,4.16,116142,Petrol,Individual,Manual,Second Owner,21.3,805.0,52.6,7,9,0.3581822252070741,Mid-range,High,8-12 years
Maruti Dzire,Maruti,Dzire,2019,3.4,106112,Diesel,Individual,Manual,First Owner,17.1,1241.0,86.3,7,6,0.320416164053076,Budget,Medium,4-7 years
Toyota Glanza,Toyota,Glanza,2014,3.56,161402,Diesel,Individual,Manual,Second Owner,12.3,1558.0,114.7,5,11,0.22056727921587094,Budget,Medium,8-12 years
Maruti Dzire,Maruti,Dzire,2018,2.35,101261,Petrol,Dealer,Manual,Second Owner,20.1,800.0,76.6,5,7,0.23207355250293799,Budget,High,4-7 years
Honda Amaze,Honda,Amaze,2013,2.35,127513,Petrol,Individual,Manual,First Owner,15.9,1262.0,76.1,5,12,0.18429493463411573,Budget,Medium,8-12 years
Honda WR-V,Honda,WR-V,2018,2.93,130691,Diesel,Dealer,Manual,Second Owner,20.0,1070.0,69.1,5,7,0.2241929436610019,Budget,High,4-7 years
Tata Nexon,Tata,Nexon,2022,4.56,92786,Petrol,Dealer,Manual,First Owner,18.3,800.0,63.1,5,3,0.4914534520294009,Mid-range,High,0-3 years
Honda Amaze,Honda,Amaze,2022,6.44,64438,Petrol,Individual,Manual,First Owner,13.8,1229.0,91.9,7,3,0.9994102858561719,Mid-range,Medium,0-3 years
Volkswagen Virtus,Volkswagen,Virtus,2021,5.37,78114,Petrol,Dealer,Manual,First Owner,17.1,1152.0,61.0,5,4,0.6874567939165834,Mid-range,Medium,4-7 years
Volkswagen Vento,Volkswagen,Vento,2021,4.74,82298,Petrol,Individual,Manual,Second Owner,19.1,1192.0,81.3,7,4,0.5759556732848916,Mid-range,High,4-7 years
Honda WR-V,Honda,WR-V,2012,3.09,144459,Diesel,Individual,Automatic,First Owner,16.2,1078.0,70.4,5,13,0.2139015222312213,Budget,Medium,13+ years
Toyota Fortuner,Toyota,Fortuner,2016,4.6,80654,Petrol,Individual,Automatic,First Owner,21.9,843.0,46.0,7,9,0.5703374910109851,Mid-range,High,8-12 years
Kia Carens,Kia,Carens,2020,6.49,50565,Petrol,Individual,Manual,First Owner,22.7,800.0,48.3,7,5,1.2834964896667655,Mid-range,High,4-7 years
Maruti Wagon R,Maruti,Wagon R,2022,4.64,51977,CNG,Dealer,Manual,Third Owner,19.4,958.0,63.1,5,3,0.8927025415087442,Mid-range,High,0-3 years
Maruti Dzire,Maruti,Dzire,2019,3.27,69775,Petrol,Individual,Automatic,First Owner,15.1,1501.0,98.0,5,6,0.46864922966678607,Budget,Medium,4-7 years
Maruti Baleno,Maruti,Baleno,2023,5.2,50835,Petrol,Individual,Manual,First Owner,13.3,1282.0,93.6,5,2,1.0229172814006098,Mid-range,Medium,0-3 years
Toyota Glanza,Toyota,Glanza,2015,3.82,130963,Diesel,Individual,Manual,First Owner,20.1,1176.0,82.5,7,10,0.2916854378717653,Budget,High,8-12 years
Tata Altroz,Tata,Altroz,2013,2.27,126283,CNG,Dealer,Manual,First Owner,24.4,836.0,68.6,5,12,0.1797549947340497,Budget,High,8-12 years
Volkswagen Vento,Volkswagen,Vento,2013,2.78,134320,Diesel,Individual,Manual,Second Owner,22.7,1069.0,74.0,5,12,0.20696843359142345,Budget,High,8-12 years
Ford EcoSport,Ford,EcoSport,2019,4.69,64065,Diesel,Individual,Automatic,Third Owner,16.5,1458.0,89.6,5,6,0.7320689924295638,Mid-range,Medium,4-7 years
Hyundai i20,Hyundai,i20,2020,4.48,74343,Petrol,Trustmark Dealer,Automatic,Second Owner,15.2,1377.0,89.3,5,5,0.6026122163485467,Mid-range,Medium,4-7 years
Kia EV6,Kia,EV6,2015,3.67,129919,Petrol,Individual,Automatic,Second Owner,20.9,1033.0,77.4,5,10,0.2824837013831695,Budget,High,8-12 years
Volkswagen Polo,Volkswagen,Polo,2022,6.08,84588,CNG,Individual,Automatic,First Owner,20.3,800.0,67.3,5,3,0.7187780772686433,Mid-range,High,0-3 years
Hyundai i20,Hyundai,i20,2021,5.23,62059,CNG,Individual,Manual,First Owner,20.6,964.0,66.8,7,4,0.842746418730563,Mid-range,High,4-7 years
Tata Nexon,Tata,Nexon,2016,2.56,114056,Diesel,Dealer,Automatic,First Owner,19.9,1031.0,64.3,5,9,0.22445114680507822,Budget,High,8-12 years
Hyundai Creta,Hyundai,Creta,2015,2.56,165374,Petrol,Dealer,Manual,First Owner,20.3,883.0,66.3,7,10,0.15480063371509425,Budget,High,8-12 years
Maruti Swift,Maruti,Swift,2021,3.34,77612,Petrol,Individual,Manual,First Owner,21.2,1055.0,76.8,5,4,0.43034582281090555,Budget,High,4-7 years
Maruti Wagon R,Maruti,Wagon R,2020,3.39,69249,Petrol,Dealer,Manual,Second Owner,18.9,1486.0,106.6,7,5,0.4895377550578348,Budget,High,4-7 years
Kia EV6,Kia,EV6,2014,2.98,119677,CNG,Dealer,Manual,First Owner,17.4,1187.0,74.9,5,11,0.2490035679370305,Budget,Medium,8-12 years
Tata Harrier,Tata,Harrier,2015,2.46,119027,Diesel,Dealer,Manual,First Owner,14.6,1546.0,94.7,5,10,0.20667579624791013,Budget,Medium,8-12 years
Tata Harrier,Tata,Harrier,2018,2.97,94174,Petrol,Trustmark Dealer,Manual,First Owner,15.6,800.0,65.0,7,7,0.3153736700150785,Budget,Medium,4-7 years
Ford Aspire,Ford,Aspire,2018,3.87,96810,Petrol,Dealer,Manual,Second Owner,18.2,1093.0,71.9,5,7,0.3997520917260614,Budget,High,4-7 years
Honda WR-V,Honda,WR-V,2014,2.97,91744,Petrol,Individual,Manual,Second Owner,18.4,800.0,55.4,5,11,0.3237268922218347,Budget,High,8-12 years
Kia Carens,Kia,Carens,2024,9.91,37322,Petrol,Individual,Manual,First Owner,20.0,1051.0,82.8,5,1,2.6552703499276564,Premium,High,0-3 years
Volkswagen Polo,Volkswagen,Polo,2017,2.86,100714,Diesel,Trustmark Dealer,Manual,Second Owner,19.7,834.0,49.9,5,8,0.2839724368012391,Budget,High,8-12 years
Tata Tiago,Tata,Tiago,2016,2.39,106864,Diesel,Dealer,Manual,Second Owner,15.4,1648.0,122.1,5,9,0.22364874981284624,Budget,Medium,8-12 years
Tata Tiago,Tata,Tiago,2012,2.22,124043,Petrol,Individual,Manual,First Owner,19.2,1343.0,84.0,5,13,0.17897019581919177,Budget,High,13+ years
Mahindra Scorpio,Mahindra,Scorpio,2023,8.43,61105,Diesel,Trustmark Dealer,Automatic,Second Owner,17.2,1555.0,107.5,7,2,1.379592504705016,Premium,Medium,0-3 years
Ford EcoSport,Ford,EcoSport,2015,2.28,118342,Electric,Dealer,Manual,First Owner,18.9,1050.0,71.9,5,10,0.19266194588565344,Budget,High,8-12 years
Mahindra Bolero,Mahindra,Bolero,2024,7.41,78067,Petrol,Dealer,Manual,First Owner,23.7,843.0,63.5,5,1,0.9491846747024991,Mid-range,High,0-3 years
Maruti Baleno,Maruti,Baleno,2018,2.44,95317,Petrol,Dealer,Manual,First Owner,21.9,832.0,58.7,5,7,0.25598791401324,Budget,High,4-7 years
Renault Triber,Renault,Triber,2023,6.27,73780,Petrol,Individual,Automatic,First Owner,17.0,1293.0,93.0,5,2,0.849823800487937,Mid-range,Medium,0-3 years
Toyota Glanza,Toyota,Glanza,2014,4.22,111584,Petrol,Dealer,Manual,First Owner,14.1,1834.0,113.1,5,11,0.37819042156581584,Mid-range,Medium,8-12 years
Maruti Swift,Maruti,Swift,2014,1.73,136086,Petrol,Trustmark Dealer,Manual,First Owner,19.1,1344.0,84.3,7,11,0.1271254941728025,Budget,High,8-12 years
Toyota Fortuner,Toyota,Fortuner,2022,9.64,79766,Diesel,Individual,Manual,First Owner,19.5,1069.0,88.3,5,3,1.208534964771958,Premium,High,0-3 years
Ford Aspire,Ford,Aspire,2022,5.59,90547,Petrol,Individual,Automatic,First Owner,16.5,1134.0,81.9,5,3,0.6173589406606513,Mid-range,Medium,0-3 years
Maruti Swift,Maruti,Swift,2019,3.03,106696,Petrol,Dealer,Automatic,First Owner,20.2,1189.0,75.0,5,6,0.28398440428882055,Budget,High,4-7 years
Tata Tiago,Tata,Tiago,2012,1.92,149452,CNG,Individual,Manual,First Owner,16.9,1909.0,108.1,5,13,0.12846934132698123,Budget,Medium,13+ years
Renault Kwid,Renault,Kwid,2024,5.64,56334,Petrol,Individual,Manual,First Owner,18.3,1632.0,119.7,5,1,1.0011715837682393,Mid-range,High,0-3 years
Hyundai Creta,Hyundai,Creta,2017,2.71,109388,Diesel,Individual,Manual,First Owner,20.9,1291.0,81.6,5,8,0.24774198266720296,Budget,High,8-12 years
Tata Nexon,Tata,Nexon,2024,6.0,81897,Diesel,Individual,Manual,Second Owner,22.3,1214.0,99.6,5,1,0.732627568775413,Mid-range,High,0-3 years
Tata Tiago,Tata,Tiago,2023,6.8,50654,Diesel,Individual,Automatic,Second Owner,21.2,1305.0,90.0,5,2,1.3424408733762387,Mid-range,High,0-3 years
Hyundai Creta,Hyundai,Creta,2023,6.95,51175,Diesel,Dealer,Automatic,First Owner,18.1,1373.0,91.7,5,2,1.358085002442599,Mid-range,High,0-3 years
Kia Sonet,Kia,Sonet,2020,6.78,88491,Diesel,Dealer,Automatic,Second Owner,18.7,1055.0,74.4,5,5,0.7661796114859138,Mid-range,High,4-7 years
Volkswagen Taigun,Volkswagen,Taigun,2020,5.23,93636,Diesel,Dealer,Automatic,First Owner,16.3,905.0,82.5,5,5,0.5585458584305182,Mid-range,Medium,4-7 years
Maruti Baleno,Maruti,Baleno,2018,2.48,79369,Petrol,Individual,Manual,Third Owner,16.3,1561.0,83.3,5,7,0.31246456425052604,Budget,Medium,4-7 years
Mahindra Thar,Mahindra,Thar,2012,3.68,134855,Petrol,Individual,Automatic,First Owner,19.3,1208.0,81.9,5,13,0.2728856920395981,Budget,High,13+ years
Kia Sonet,Kia,Sonet,2017,3.89,101932,Petrol,Individual,Manual,First Owner,16.6,1532.0,97.1,5,8,0.3816269669976063,Budget,Medium,8-12 years
Hyundai Grand i10,Hyundai,Grand i10,2021,4.96,29263,Petrol,Dealer,Manual,First Owner,11.4,1776.0,111.0,5,4,1.6949731743156888,Mid-range,Low,4-7 years
Renault Triber,Renault,Triber,2022,4.29,66668,Petrol,Trustmark Dealer,Manual,First Owner,16.7,1382.0,92.2,5,3,0.6434871302573948,Mid-range,Medium,0-3 years
Maruti Wagon R,Maruti,Wagon R,2019,2.68,87539,Petrol,Individual,Manual,First Owner,18.9,1325.0,85.7,5,6,0.30614925918733366,Budget,High,4-7 years
Mahindra Thar,Mahindra,Thar,2021,6.09,74473,Petrol,Trustmark Dealer,Automatic,First Owner,10.1,2320.0,81.9,5,4,0.8177460287621017,Mid-range,Low,4-7 years
Ford Endeavour,Ford,Endeavour,2012,2.5,167650,Petrol,Individual,Automatic,First Owner,18.3,1272.0,84.8,7,13,0.14912019087384432,Budget,High,13+ years
Toyota Fortuner,Toyota,Fortuner,2018,5.42,70752,Petrol,Individual,Automatic,Second Owner,21.3,818.0,49.5,5,7,0.7660560832202623,Mid-range,High,4-7 years
Maruti Wagon R,Maruti,Wagon R,2018,2.84,79358,Diesel,Dealer,Automatic,Second Owner,18.3,1102.0,78.7,5,7,0.357871922175458,Budget,High,4-7 years
Kia Carens,Kia,Carens,2023,10.92,7531,Diesel,Individual,Manual,First Owner,18.7,1743.0,116.6,5,2,14.500066392245385,Premium,High,0-3 years
Maruti Baleno,Maruti,Baleno,2016,1.93,99919,Diesel,Trustmark Dealer,Manual,Second Owner,19.8,800.0,54.7,5,9,0.19315645672995127,Budget,High,8-12 years
Hyundai Creta,Hyundai,Creta,2014,2.95,114795,Petrol,Individual,Automatic,First Owner,20.2,937.0,81.5,5,11,0.2569798336164467,Budget,High,8-12 years
Maruti Dzire,Maruti,Dzire,2016,1.74,99280,CNG,Dealer,Manual,Third Owner,16.6,1587.0,113.0,5,9,0.17526188557614825,Budget,Medium,8-12 years
Volkswagen Vento,Volkswagen,Vento,2014,2.69,147868,Diesel,Individual,Automatic,First Owner,20.2,1105.0,82.5,7,11,0.18191900884572726,Budget,High,8-12 years
Maruti Swift,Maruti,Swift,2019,2.6,109933,Petrol,Individual,Manual,Second Owner,19.6,1161.0,85.5,5,6,0.23650769104818392,Budget,High,4-7 years
Kia Carens,Kia,Carens,2020,7.23,86212,Electric,Individual,Manual,Second Owner,19.1,1576.0,101.9,5,5,0.8386303530830975,Mid-range,High,4-7 years
Toyota Innova,Toyota,Innova,2022,8.38,63346,Petrol,Trustmark Dealer,Manual,Second Owner,15.1,949.0,76.3,5,3,1.3228933160736276,Premium,Medium,0-3 years
Maruti Dzire,Maruti,Dzire,2024,5.96,81076,Diesel,Dealer,Manual,Second Owner,21.4,800.0,71.6,5,1,0.7351127337313138,Mid-range,High,0-3 years
Maruti Dzire,Maruti,Dzire,2012,1.82,136065,Diesel,Dealer,Automatic,First Owner,21.5,800.0,65.5,5,13,0.13375960019108515,Budget,High,13+ years
Maruti Wagon R,Maruti,Wagon R,2015,2.36,98998,Petrol,Individual,Automatic,Second Owner,16.7,1404.0,87.7,5,10,0.23838865431624878,Budget,Medium,8-12 years
Toyota Innova,Toyota,Innova,2015,4.95,79242,Diesel,Individual,Manual,First Owner,13.3,1291.0,85.7,5,10,0.6246687362762172,Mid-range,Medium,8-12 years
Volkswagen Virtus,Volkswagen,Virtus,2015,2.62,107291,Petrol,Individual,Manual,First Owner,19.6,958.0,72.3,7,10,0.24419569208973724,Budget,High,8-12 years
Hyundai i20,Hyundai,i20,2022,5.38,88102,Petrol,Dealer,Manual,Third Owner,19.1,800.0,65.7,7,3,0.6106558307416403,Mid-range,High,0-3 years
Renault Kwid,Renault,Kwid,2013,2.1,180083,Petrol,Individual,Manual,First Owner,22.2,1105.0,75.2,5,12,0.11661289516500727,Budget,High,8-12 years
Maruti Baleno,Maruti,Baleno,2012,2.23,137855,Petrol,Individual,Manual,First Owner,16.9,1591.0,98.0,5,13,0.16176417250009067,Budget,Medium,13+ years
Volkswagen Taigun,Volkswagen,Taigun,2023,6.21,48162,Petrol,Dealer,Manual,Second Owner,18.4,907.0,77.6,5,2,1.2893982808022921,Mid-range,High,0-3 years
Kia Carens,Kia,Carens,2024,10.14,32430,Diesel,Dealer,Manual,First Owner,15.5,968.0,59.7,5,1,3.126734505087882,Premium,Medium,0-3 years
Volkswagen Vento,Volkswagen,Vento,2014,2.29,135643,Petrol,Individual,Manual,First Owner,21.7,800.0,51.5,5,11,0.16882551993099534,Budget,High,8-12 years
Ford Aspire,Ford,Aspire,2016,2.29,71678,Petrol,Individual,Manual,First Owner,20.4,1071.0,63.3,5,9,0.3194843606127403,Budget,High,8-12 years
Renault Kiger,Renault,Kiger,2018,3.12,109607,Diesel,Individual,Automatic,Second Owner,17.2,1318.0,79.9,7,7,0.28465335243187023,Budget,Medium,4-7 years
Maruti Swift,Maruti,Swift,2018,2.53,115489,Petrol,Dealer,Manual,Second Owner,15.4,1940.0,131.7,5,7,0.2190684827126393,Budget,Medium,4-7 years
Hyundai i20,Hyundai,i20,2024,5.89,68098,Petrol,Individual,Manual,First Owner,17.2,1276.0,95.4,5,1,0.8649299538899821,Mid-range,Medium,0-3 years
Maruti Wagon R,Maruti,Wagon R,2017,2.24,99167,Diesel,Dealer,Manual,First Owner,20.6,1181.0,79.4,5,8,0.22588159367531538,Budget,High,8-12 years
Honda City,Honda,City,2012,2.91,148928,CNG,Individual,Automatic,First Owner,18.6,1502.0,101.6,7,13,0.1953964331757628,Budget,High,13+ years
Volkswagen Vento,Volkswagen,Vento,2017,2.87,107760,Petrol,Trustmark Dealer,Automatic,Second Owner,13.7,1444.0,94.3,7,8,0.26633259094283596,Budget,Medium,8-12 years
Toyota Glanza,Toyota,Glanza,2019,5.96,73881,Petrol,Trustmark Dealer,Manual,Second Owner,16.7,998.0,60.4,5,6,0.8067026705106861,Mid-range,Medium,4-7 years
Renault Kwid,Renault,Kwid,2018,2.83,138209,Diesel,Individual,Manual,Third Owner,17.9,2006.0,143.1,5,7,0.20476235266878423,Budget,Medium,4-7 years
Maruti Baleno,Maruti,Baleno,2018,3.11,89763,CNG,Individual,Automatic,First Owner,20.2,1191.0,91.5,5,7,0.346467921081069,Budget,High,4-7 years
Ford Aspire,Ford,Aspire,2023,5.85,82066,Petrol,Individual,Manual,First Owner,15.3,1283.0,88.4,5,2,0.7128408841664026,Mid-range,Medium,0-3 years
Maruti Wagon R,Maruti,Wagon R,2022,4.83,18290,Petrol,Dealer,Manual,First Owner,14.1,1393.0,84.8,5,3,2.640787315472936,Mid-range,Medium,0-3 years
Hyundai Verna,Hyundai,Verna,2015,2.49,145082,Petrol,Individual,Automatic,First Owner,18.1,1321.0,85.9,5,10,0.17162707985828704,Budget,High,8-12 years
Ford Aspire,Ford,Aspire,2016,2.35,142812,Diesel,Dealer,Manual,First Owner,13.1,1734.0,104.8,7,9,0.16455199843150436,Budget,Medium,8-12 years
Mahindra Thar,Mahindra,Thar,2020,5.14,85156,CNG,Individual,Manual,First Owner,18.8,994.0,70.5,5,5,0.6035981023063555,Mid-range,High,4-7 years
Toyota Fortuner,Toyota,Fortuner,2017,4.53,116292,Diesel,Individual,Automatic,First Owner,16.7,1474.0,98.5,5,8,0.38953668352079246,Mid-range,Medium,8-12 years
Maruti Wagon R,Maruti,Wagon R,2017,2.04,116287,Petrol,Dealer,Manual,Third Owner,17.8,1258.0,81.5,5,8,0.1754280358079579,Budget,Medium,8-12 years
Toyota Etios,Toyota,Etios,2014,4.58,109358,Diesel,Dealer,Manual,First Owner,18.7,1544.0,88.3,5,11,0.41880795186451836,Mid-range,High,8-12 years
Maruti Baleno,Maruti,Baleno,2015,1.97,129036,Diesel,Dealer,Manual,First Owner,22.4,1125.0,93.9,5,10,0.15267057255339594,Budget,High,8-12 years
Kia EV6,Kia,EV6,2021,7.91,60210,Petrol,Dealer,Automatic,Second Owner,18.1,1077.0,76.1,5,4,1.3137352599236007,Mid-range,High,4-7 years
Ford Endeavour,Ford,Endeavour,2022,6.28,58107,Diesel,Dealer,Automatic,First Owner,14.6,1456.0,98.7,7,3,1.0807647959798303,Mid-range,Medium,0-3 years
Maruti Wagon R,Maruti,Wagon R,2022,4.21,96292,Petrol,Individual,Automatic,First Owner,18.4,1325.0,84.5,5,3,0.4372118140655506,Mid-range,High,0-3 years
Maruti Baleno,Maruti,Baleno,2016,1.64,131942,Petrol,Trustmark Dealer,Manual,First Owner,23.2,913.0,52.7,5,9,0.12429703960831273,Budget,High,8-12 years
Maruti Swift,Maruti,Swift,2013,2.23,114459,Diesel,Dealer,Automatic,First Owner,14.9,1671.0,106.2,5,12,0.19482958963471636,Budget,Medium,8-12 years
Mahindra Bolero,Mahindra,Bolero,2014,3.55,107361,Petrol,Dealer,Automatic,First Owner,18.6,1456.0,92.5,5,11,0.3306601093506953,Budget,High,8-12 years
Tata Tiago,Tata,Tiago,2017,3.05,89796,Electric,Trustmark Dealer,Manual,First Owner,16.8,1174.0,85.2,5,8,0.33965878212837985,Budget,Medium,8-12 years
Volkswagen Taigun,Volkswagen,Taigun,2018,3.09,113618,Petrol,Individual,Manual,First Owner,19.3,1036.0,79.2,5,7,0.27196394937421886,Budget,High,4-7 years
Toyota Etios,Toyota,Etios,2023,10.19,43000,Petrol,Dealer,Manual,First Owner,15.3,1327.0,81.9,5,2,2.369767441860465,Premium,Medium,0-3 years
Honda City,Honda,City,2023,6.99,72847,Petrol,Dealer,Automatic,First Owner,18.3,1431.0,101.6,5,2,0.9595453484700812,Mid-range,High,0-3 years
Maruti Dzire,Maruti,Dzire,2012,1.71,152930,Petrol,Individual,Manual,First Owner,20.3,800.0,73.4,5,13,0.11181586346694566,Budget,High,13+ years
Mahindra Scorpio,Mahindra,Scorpio,2021,5.8,76058,Petrol,Dealer,Manual,First Owner,18.8,1331.0,91.3,5,4,0.7625759288963685,Mid-range,High,4-7 years
Hyundai Verna,Hyundai,Verna,2015,3.11,139221,Diesel,Individual,Automatic,Third Owner,20.6,1428.0,102.3,7,10,0.22338583977991824,Budget,High,8-12 years
Honda Amaze,Honda,Amaze,2014,3.45,116805,Petrol,Individual,Automatic,First Owner,19.8,800.0,63.0,7,11,0.2953640683189932,Budget,High,8-12 years
Ford EcoSport,Ford,EcoSport,2019,3.68,86295,Petrol,Individual,Automatic,First Owner,14.0,1269.0,81.9,5,6,0.4264441740541167,Budget,Medium,4-7 years
Toyota Innova,Toyota,Innova,2012,4.61,115000,Diesel,Dealer,Manual,First Owner,16.6,1443.0,93.1,7,13,0.4008695652173913,Mid-range,Medium,13+ years
Mahindra Thar,Mahindra,Thar,2016,2.9,132877,Petrol,Dealer,Manual,Second Owner,17.8,1403.0,85.2,7,9,0.21824695018701507,Budget,Medium,8-12 years
Maruti Swift,Maruti,Swift,2019,3.06,74136,Diesel,Individual,Manual,First Owner,17.2,1481.0,98.3,7,6,0.41275493687277437,Budget,Medium,4-7 years
Honda City,Honda,City,2015,2.41,124694,Petrol,Individual,Manual,First Owner,18.3,1085.0,68.3,5,10,0.19327313262867502,Budget,High,8-12 years
Tata Altroz,Tata,Altroz,2019,3.73,89431,Petrol,Individual,Automatic,First Owner,23.3,836.0,65.8,5,6,0.4170813252675247,Budget,High,4-7 years
Tata Tiago,Tata,Tiago,2017,3.01,80838,Diesel,Individual,Manual,First Owner,20.8,800.0,66.8,5,8,0.3723496375466983,Budget,High,8-12 years
Maruti Wagon R,Maruti,Wagon R,2022,4.69,58099,Diesel,Individual,Manual,Second Owner,16.0,1582.0,111.6,7,3,0.8072428096869138,Mid-range,Medium,0-3 years
Maruti Dzire,Maruti,Dzire,2014,1.79,153923,Diesel,Individual,Manual,First Owner,15.4,1446.0,107.5,7,11,0.11629191218986117,Budget,Medium,8-12 years
Hyundai i20,Hyundai,i20,2012,2.42,140936,Petrol,Dealer,Manual,Second Owner,12.6,1609.0,90.1,5,13,0.17170914457626155,Budget,Medium,13+ years
Hyundai Grand i10,Hyundai,Grand i10,2018,3.33,75298,Petrol,Individual,Automatic,First Owner,20.4,946.0,57.4,7,7,0.44224282185449815,Budget,High,4-7 years
Tata Nexon,Tata,Nexon,2015,2.38,123717,Diesel,Dealer,Manual,First Owner,17.3,1481.0,119.9,5,10,0.19237453219848524,Budget,Medium,8-12 years
Toyota Innova,Toyota,Innova,2021,8.9,74785,Diesel,Dealer,Manual,First Owner,18.4,800.0,67.1,5,4,1.1900782242428294,Premium,High,4-7 years
Toyota Fortuner,Toyota,Fortuner,2013,3.42,205989,Diesel,Individual,Manual,Second Owner,19.9,896.0,66.1,5,12,0.16602828306365874,Budget,High,8-12 years
Tata Altroz,Tata,Altroz,2019,2.58,97272,Diesel,Dealer,Manual,Second Owner,17.8,1244.0,83.7,5,6,0.26523562792992844,Budget,Medium,4-7 years
Tata Altroz,Tata,Altroz,2024,6.52,50126,Diesel,Individual,Manual,First Owner,15.8,1432.0,93.3,5,1,1.3007221801061324,Mid-range,Medium,0-3 years
Hyundai i20,Hyundai,i20,2013,2.51,161240,Petrol,Individual,Automatic,First Owner,13.5,1788.0,97.9,5,12,0.15566856859340114,Budget,Medium,8-12 years
Toyota Fortuner,Toyota,Fortuner,2015,4.31,76497,Diesel,Individual,Manual,First Owner,19.6,1116.0,70.2,5,10,0.5634207877433102,Mid-range,High,8-12 years
Hyundai Creta,Hyundai,Creta,2022,5.14,73575,Petrol,Individual,Manual,First Owner,19.6,897.0,63.4,5,3,0.6986068637444783,Mid-range,High,0-3 years
Maruti Wagon R,Maruti,Wagon R,2018,2.53,141377,Petrol,Trustmark Dealer,Automatic,Second Owner,18.9,879.0,57.6,7,7,0.17895414388479028,Budget,High,4-7 years
Tata Altroz,Tata,Altroz,2014,2.2,120943,Diesel,Dealer,Manual,First Owner,17.9,959.0,63.1,5,11,0.1819038720719678,Budget,Medium,8-12 years
Tata Nexon,Tata,Nexon,2014,2.64,85367,Petrol,Dealer,Manual,Second Owner,13.8,1977.0,144.2,5,11,0.30925299003127676,Budget,Medium,8-12 years
